radar_key,distance,easting,northing,elevation,bed_elevation,temperate,temperate_elevation,temperate_lower,temperate_upper,temperate_gpr_uncertainty,bed_type
dronbreen-20220329-DAT_0234_A1_1,0.0,541331.73,8672509.62,429.736,290.398,0.0,290.398,0.0,0.0,2.799,certain_cold
dronbreen-20220329-DAT_0234_A1_1,5.0,541327.96,8672505.79,430.056,290.926,28.347,319.273,61.956,0.0,2.232,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,10.0,541324.7,8672502.21,430.336,291.207,29.493,320.7,33.945,0.0,2.209,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,15.0,541321.29,8672498.37,430.633,291.295,30.952,322.247,34.867,0.0,2.184,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,20.0,541318.12,8672494.92,430.916,291.578,32.099,323.676,36.044,0.0,2.161,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,25.0,541315.3,8672491.81,431.166,291.828,33.766,325.594,44.011,0.0,2.128,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,30.0,541311.77,8672487.36,431.531,292.192,35.33,327.522,45.423,22.214,2.097,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,35.0,541308.37,8672482.91,431.876,292.538,37.622,330.16,46.862,23.902,2.052,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,40.0,541305.98,8672479.56,432.133,292.795,39.186,331.98,47.484,25.468,2.021,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,45.0,541303.31,8672475.62,432.44,293.101,41.166,334.267,48.512,27.045,1.981,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,50.0,541300.13,8672471.06,432.789,293.555,42.521,336.076,48.285,29.461,1.952,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,55.0,541296.72,8672466.68,433.11,293.876,43.354,337.23,48.493,31.65,1.936,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,60.0,541294.29,8672463.44,433.308,294.179,43.771,337.95,48.902,32.387,1.926,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,65.0,541290.95,8672459.08,433.574,294.444,44.605,339.049,50.047,33.639,1.909,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,70.0,541287.96,8672455.2,433.829,294.803,45.334,340.137,50.688,35.083,1.893,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,75.0,541285.12,8672451.62,434.04,295.014,46.064,341.078,51.379,35.954,1.878,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,80.0,541281.65,8672447.79,434.203,295.281,46.898,342.179,51.967,36.93,1.86,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,85.0,541277.75,8672443.84,434.267,295.45,47.627,343.077,52.319,38.142,1.843,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,90.0,541274.81,8672440.42,434.357,295.539,48.357,343.896,52.884,38.932,1.829,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,95.0,541271.68,8672436.13,434.601,295.992,49.19,345.183,53.051,40.327,1.808,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,100.0,541268.91,8672432.26,434.883,296.274,49.295,345.569,53.136,40.763,1.806,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,105.0,541266.39,8672428.11,435.201,296.696,48.669,345.366,53.934,40.59,1.816,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,110.0,541263.74,8672423.65,435.591,297.295,47.94,345.235,54.407,40.639,1.827,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,115.0,541261.33,8672419.9,435.939,297.747,47.419,345.166,54.704,40.863,1.835,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,120.0,541258.49,8672415.35,436.226,298.139,47.419,345.558,54.026,40.811,1.833,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,125.0,541255.33,8672410.63,436.45,298.571,47.627,346.198,52.995,40.905,1.824,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,130.0,541252.58,8672406.7,436.619,298.844,47.106,345.95,52.588,40.79,1.833,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,135.0,541250.18,8672402.72,436.787,299.117,46.585,345.702,52.127,40.73,1.841,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,140.0,541247.63,8672398.71,436.978,299.411,45.96,345.371,50.212,40.456,1.851,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,145.0,541244.72,8672394.36,437.21,299.852,45.23,345.083,49.445,39.452,1.862,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,150.0,541241.82,8672390.55,437.528,300.274,43.771,344.045,49.554,38.509,1.888,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,155.0,541238.23,8672385.98,437.976,300.931,42.208,343.138,47.401,38.37,1.915,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,160.0,541235.46,8672382.17,438.317,301.376,41.999,343.375,46.262,37.007,1.917,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,165.0,541232.4,8672377.82,438.553,301.716,41.583,343.298,45.359,35.722,1.924,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,170.0,541229.58,8672373.9,438.77,302.037,41.27,343.307,44.529,35.926,1.928,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,175.0,541226.55,8672369.99,439.005,302.481,40.749,343.23,43.91,36.025,1.934,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,180.0,541223.66,8672366.18,439.204,302.784,40.436,343.22,43.55,36.176,1.938,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,185.0,541220.42,8672362.17,439.345,303.029,40.228,343.257,43.158,36.36,1.94,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,190.0,541217.4,8672358.67,439.504,303.396,39.707,343.103,42.81,36.291,1.946,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,195.0,541213.94,8672354.71,439.7,303.697,39.29,342.986,42.438,36.35,1.952,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,200.0,541210.94,8672350.96,439.908,304.113,38.665,342.778,41.716,35.613,1.961,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,205.0,541208.03,8672347.28,440.12,304.325,38.352,342.677,41.201,35.086,1.967,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,210.0,541204.7,8672342.61,440.412,304.825,37.727,342.552,40.573,34.255,1.975,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,215.0,541201.78,8672339.27,440.641,305.158,37.101,342.26,40.3,33.382,1.985,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,220.0,541198.26,8672334.88,440.94,305.562,36.163,341.726,40.001,33.056,2.002,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,225.0,541195.25,8672330.94,441.138,305.969,35.434,341.403,39.307,33.02,2.012,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,230.0,541192.71,8672327.17,441.292,306.227,35.017,341.244,39.101,32.079,2.019,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,235.0,541189.32,8672322.51,441.451,306.49,34.183,340.673,38.815,30.906,2.033,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,240.0,541186.65,8672318.92,441.646,306.789,33.558,340.347,38.45,30.229,2.043,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,245.0,541183.85,8672315.21,441.874,307.122,32.828,339.95,38.064,29.26,2.056,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,250.0,541180.65,8672311.26,442.227,307.578,31.995,339.573,38.317,28.278,2.07,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,255.0,541177.63,8672307.64,442.595,308.051,31.057,339.107,38.611,26.421,2.087,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,260.0,541173.85,8672303.05,443.045,308.605,30.119,338.724,38.134,24.188,2.103,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,265.0,541171.26,8672299.81,443.32,308.88,29.389,338.269,37.624,22.613,2.118,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,270.0,541167.53,8672295.11,443.665,309.225,28.555,337.78,36.804,21.141,2.134,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,275.0,541164.88,8672291.8,443.897,309.561,27.722,337.283,35.981,19.983,2.149,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,280.0,541161.75,8672287.98,444.161,309.825,26.888,336.713,35.231,18.44,2.165,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,285.0,541158.18,8672283.84,444.352,310.017,26.054,336.071,36.803,13.43,2.182,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,290.0,541155.05,8672280.33,444.443,310.107,21.26,331.368,34.78,10.45,2.277,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,295.0,541151.72,8672276.38,444.565,310.23,19.28,329.51,28.87,3.75,2.316,certain_temperate
dronbreen-20220329-DAT_0234_A1_1,300.0,541148.87,8672272.76,444.739,310.403,17.717,328.12,27.158,0.0,2.347,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,305.0,541145.82,8672268.89,445.055,310.719,16.883,327.602,28.318,0.0,2.364,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,310.0,541141.89,8672264.61,445.434,311.203,12.298,323.501,27.114,0.0,2.453,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,315.0,541139.22,8672261.35,445.754,311.522,10.317,321.84,26.417,0.0,2.492,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,320.0,541136.09,8672257.42,446.158,311.927,5.107,317.034,22.369,0.0,2.596,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,325.0,541132.89,8672253.23,446.616,312.592,5.002,317.595,17.54,0.0,2.594,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,330.0,541129.94,8672249.42,446.95,312.718,3.127,315.845,18.442,0.0,2.636,uncertain_temperate
dronbreen-20220329-DAT_0234_A1_1,335.0,541126.42,8672245.09,447.254,313.126,0.521,313.647,14.986,0.0,2.685,uncertain_cold
dronbreen-20220329-DAT_0234_A1_1,340.0,541123.23,8672241.21,447.496,313.264,0.208,313.473,12.111,0.0,2.694,uncertain_cold
dronbreen-20220329-DAT_0234_A1_1,345.0,541119.94,8672237.82,447.763,313.531,0.208,313.74,11.031,0.0,2.694,uncertain_cold
dronbreen-20220329-DAT_0234_A1_1,350.0,541116.87,8672234.32,448.053,313.821,0.208,314.03,10.131,0.0,2.694,uncertain_cold
dronbreen-20220329-DAT_0234_A1_1,355.0,541113.23,8672230.01,448.43,314.198,0.0,314.198,0.0,0.0,2.685,certain_cold
dronbreen-20220329-DAT_0234_A1_1,360.0,541110.46,8672226.73,448.725,314.493,0.0,314.493,0.0,0.0,2.687,certain_cold
dronbreen-20220329-DAT_0234_A1_1,365.0,541106.86,8672223.22,449.039,314.703,0.0,314.703,0.0,0.0,2.687,certain_cold
dronbreen-20220329-DAT_0234_A1_1,370.0,541103.38,8672219.39,449.399,315.167,0.0,315.167,0.0,0.0,2.687,certain_cold
dronbreen-20220329-DAT_0234_A1_1,375.0,541100.22,8672215.57,449.758,315.527,0.0,315.527,0.0,0.0,2.687,uncertain_cold
dronbreen-20220329-DAT_0234_A1_1,380.0,541096.85,8672211.06,450.131,315.9,0.0,315.9,0.0,0.0,2.687,uncertain_cold
dronbreen-20220329-DAT_0234_A1_1,385.0,541094.5,8672207.52,450.358,316.126,0.0,316.126,0.0,0.0,2.689,certain_cold
dronbreen-20220329-DAT_0234_A1_1,390.0,541091.97,8672203.27,450.573,316.342,0.0,316.342,0.0,0.0,2.689,certain_cold
dronbreen-20220329-DAT_0234_A1_1,395.0,541089.08,8672199.13,450.76,316.528,0.0,316.528,0.0,0.0,2.692,certain_cold
dronbreen-20220329-DAT_0234_A1_1,400.0,541085.36,8672194.83,451.027,316.795,0.0,316.795,0.0,0.0,2.692,certain_cold
dronbreen-20220329-DAT_0234_A1_1,405.0,541082.31,8672191.02,451.283,317.051,0.0,317.051,0.0,0.0,2.692,certain_cold
dronbreen-20220329-DAT_0234_A1_1,410.0,541079.11,8672187.01,451.569,317.338,0.0,317.338,0.0,0.0,2.694,certain_cold
dronbreen-20220329-DAT_0234_A1_1,415.0,541075.81,8672183.52,451.89,317.659,0.0,317.659,0.0,0.0,2.694,certain_cold
dronbreen-20220329-DAT_0234_A1_1,420.0,541072.62,8672179.43,452.428,318.197,0.0,318.197,0.0,0.0,2.696,certain_cold
dronbreen-20220329-DAT_0234_A1_1,425.0,541070.01,8672176.13,452.813,318.478,0.0,318.478,0.0,0.0,2.7,certain_cold
dronbreen-20220329-DAT_0234_A1_1,430.0,541066.99,8672171.69,453.198,318.758,0.0,318.758,0.0,0.0,2.702,certain_cold
dronbreen-20220329-DAT_0234_A1_1,435.0,541064.4,8672167.77,453.545,318.897,0.0,318.897,0.0,0.0,2.706,certain_cold
dronbreen-20220329-DAT_0234_A1_1,440.0,541061.14,8672163.48,453.934,319.078,0.0,319.078,0.0,0.0,2.71,certain_cold
dronbreen-20220329-DAT_0234_A1_1,445.0,541057.69,8672159.19,454.328,319.367,0.0,319.367,0.0,0.0,2.712,certain_cold
dronbreen-20220329-DAT_0234_A1_1,450.0,541054.74,8672155.46,454.652,319.482,0.0,319.482,0.0,0.0,2.716,certain_cold
dronbreen-20220329-DAT_0234_A1_1,455.0,541052.24,8672151.98,454.863,319.589,0.0,319.589,0.0,0.0,2.718,certain_cold
dronbreen-20220329-DAT_0234_A1_1,460.0,541048.89,8672147.38,455.145,319.767,0.0,319.767,0.0,0.0,2.721,certain_cold
dronbreen-20220329-DAT_0234_A1_1,465.0,541046.35,8672143.44,455.455,319.869,0.0,319.869,0.0,0.0,2.725,certain_cold
dronbreen-20220329-DAT_0234_A1_1,470.0,541043.52,8672139.87,455.775,319.876,0.0,319.876,0.0,0.0,2.727,certain_cold
dronbreen-20220329-DAT_0234_A1_1,475.0,541040.12,8672135.39,456.325,320.217,0.0,320.217,0.0,0.0,2.731,certain_cold
dronbreen-20220329-DAT_0234_A1_1,480.0,541037.03,8672131.33,456.841,320.629,0.0,320.629,0.0,0.0,2.733,certain_cold
dronbreen-20220329-DAT_0234_A1_1,485.0,541033.93,8672127.39,457.206,320.785,0.0,320.785,0.0,0.0,2.735,certain_cold
dronbreen-20220329-DAT_0234_A1_1,490.0,541031.14,8672123.58,457.551,321.027,0.0,321.027,0.0,0.0,2.739,certain_cold
dronbreen-20220329-DAT_0234_A1_1,495.0,541028.01,8672119.58,457.936,321.307,0.0,321.307,0.0,0.0,2.743,certain_cold
dronbreen-20220329-DAT_0234_A1_1,500.0,541024.79,8672115.57,458.312,321.475,0.0,321.475,0.0,0.0,2.75,certain_cold
dronbreen-20220329-DAT_0234_A1_1,505.0,541021.88,8672112.01,458.644,321.599,0.0,321.599,0.0,0.0,2.754,certain_cold
dronbreen-20220329-DAT_0234_A1_1,510.0,541018.7,8672108.36,458.982,321.728,0.0,321.728,0.0,0.0,2.756,certain_cold
dronbreen-20220329-DAT_0234_A1_1,515.0,541015.09,8672104.39,459.357,321.895,0.0,321.895,0.0,0.0,2.76,certain_cold
dronbreen-20220329-DAT_0234_A1_1,520.0,541011.76,8672100.6,459.704,322.033,0.0,322.033,0.0,0.0,2.764,certain_cold
dronbreen-20220329-DAT_0234_A1_1,525.0,541008.25,8672096.54,460.084,322.309,0.0,322.309,0.0,0.0,2.768,certain_cold
dronbreen-20220329-DAT_0234_A1_1,530.0,541005.38,8672093.21,460.399,322.52,0.0,322.52,0.0,0.0,2.77,certain_cold
dronbreen-20220329-DAT_0234_A1_1,535.0,541002.12,8672089.51,460.754,322.666,0.0,322.666,0.0,0.0,2.774,certain_cold
dronbreen-20220329-DAT_0234_A1_1,540.0,540998.91,8672085.75,461.111,322.815,0.0,322.815,0.0,0.0,2.779,certain_cold
dronbreen-20220329-DAT_0234_A1_1,545.0,540995.72,8672081.99,461.46,322.955,0.0,322.955,0.0,0.0,2.783,certain_cold
dronbreen-20220329-DAT_0234_A1_1,550.0,540991.8,8672077.53,461.882,323.169,0.0,323.169,0.0,0.0,2.785,certain_cold
dronbreen-20220329-DAT_0234_A1_1,555.0,540988.89,8672074.03,462.228,323.306,0.0,323.306,0.0,0.0,2.789,certain_cold
dronbreen-20220329-DAT_0234_A1_1,560.0,540986.06,8672070.72,462.559,323.533,0.0,323.533,0.0,0.0,2.793,certain_cold
dronbreen-20220329-DAT_0234_A1_1,565.0,540982.35,8672066.27,462.998,323.66,0.0,323.66,0.0,0.0,2.799,certain_cold
dronbreen-20220329-DAT_0234_A1_1,570.0,540979.26,8672062.64,463.356,323.81,0.0,323.81,0.0,0.0,2.804,certain_cold
dronbreen-20220329-DAT_0234_A1_1,575.0,540975.76,8672058.81,463.745,323.99,0.0,323.99,0.0,0.0,2.808,certain_cold
dronbreen-20220329-DAT_0234_A1_1,580.0,540972.51,8672055.2,464.127,324.163,0.0,324.163,0.0,0.0,2.812,certain_cold
