radar_key,distance,easting,northing,elevation,bed_elevation,temperate,temperate_elevation,temperate_lower,temperate_upper,temperate_gpr_uncertainty,bed_type
dronbreen-20220329-DAT_0235_A1_1,5.0,538553.41,8668504.61,737.716,640.69,95.671,736.362,97.026,36.73,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,10.0,538556.15,8668500.3,737.728,639.764,96.609,736.373,97.293,38.189,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,15.0,538560.21,8668496.88,737.862,638.648,97.86,736.507,98.544,43.713,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,20.0,538564.85,8668494.59,738.081,637.824,98.902,736.726,99.586,49.34,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,25.0,538568.66,8668492.84,738.27,637.284,99.632,736.915,100.315,53.717,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,30.0,538574.14,8668490.58,738.519,636.49,100.674,737.164,101.358,61.117,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,35.0,538578.73,8668489.31,738.672,636.227,101.091,737.317,101.774,66.745,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,40.0,538583.02,8668488.04,738.968,636.106,101.507,737.613,102.191,73.519,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,45.0,538587.66,8668486.41,739.348,635.965,102.029,737.993,102.712,86.858,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,50.0,538592.54,8668484.4,739.764,636.485,101.924,738.409,102.608,93.32,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,55.0,538597.1,8668482.8,740.138,637.901,100.882,738.783,101.589,96.84,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,60.0,538602.41,8668480.97,740.52,638.491,100.778,739.269,101.38,97.883,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,65.0,538606.59,8668479.44,740.83,638.802,100.778,739.58,101.357,97.906,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,70.0,538610.9,8668477.86,741.154,640.168,99.736,739.904,100.315,96.863,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,75.0,538615.7,8668476.01,741.546,641.811,98.485,740.296,99.065,95.613,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,80.0,538620.19,8668474.16,741.921,643.332,97.339,740.67,97.918,94.467,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,85.0,538625.77,8668471.65,742.382,645.565,95.567,741.132,96.147,92.695,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,90.0,538630.33,8668469.79,742.751,647.08,94.421,741.501,95.0,91.548,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,95.0,538634.19,8668468.15,743.081,648.452,93.378,741.83,93.958,90.506,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,100.0,538638.82,8668466.19,743.519,649.723,92.545,742.268,93.124,89.673,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,105.0,538643.42,8668464.34,743.984,651.126,91.607,742.733,92.186,88.735,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,110.0,538648.7,8668462.19,744.52,652.914,90.356,743.27,90.936,87.484,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,115.0,538652.68,8668460.63,744.943,654.17,89.522,743.692,90.102,86.65,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,120.0,538657.23,8668458.78,745.442,656.441,87.751,744.192,88.33,84.879,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,125.0,538662.26,8668457.11,745.99,658.761,85.979,744.74,86.559,83.107,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,130.0,538667.37,8668455.66,746.557,661.204,84.103,745.307,84.683,81.231,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,135.0,538672.49,8668455.57,747.068,663.173,82.644,745.818,83.224,79.668,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,140.0,538676.68,8668458.16,747.351,664.602,81.498,746.1,82.077,78.521,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,145.0,538678.24,8668462.8,747.221,660.825,85.145,745.971,85.725,82.169,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,150.0,538677.08,8668468.16,746.789,656.745,88.793,745.538,89.372,85.816,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,155.0,538674.26,8668471.49,746.353,653.183,91.919,745.102,92.499,88.943,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,160.0,538670.32,8668474.29,745.898,650.435,94.212,744.648,94.792,91.236,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,165.0,538665.93,8668476.83,745.456,647.596,96.609,744.205,97.189,93.633,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,170.0,538661.58,8668479.31,745.022,644.765,99.006,743.771,99.586,96.03,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,175.0,538657.55,8668481.75,744.595,643.504,99.84,743.344,100.419,96.863,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,180.0,538652.32,8668484.53,744.051,642.022,100.778,742.8,101.357,97.801,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,185.0,538647.77,8668486.54,743.617,640.859,101.507,742.366,102.087,98.531,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,190.0,538644.11,8668488.11,743.301,640.439,101.612,742.05,102.191,98.635,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,195.0,538639.04,8668490.2,742.87,640.32,101.299,741.619,101.878,98.323,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,200.0,538634.23,8668492.3,742.466,639.603,101.612,741.215,102.191,98.635,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,205.0,538630.04,8668493.96,742.139,639.068,101.82,740.888,102.4,98.844,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,210.0,538624.98,8668496.21,741.754,638.579,101.924,740.504,102.504,98.948,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,215.0,538620.19,8668498.22,741.407,637.919,102.237,740.156,102.816,99.26,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,220.0,538615.65,8668500.2,741.017,637.321,102.445,739.766,103.025,99.469,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,225.0,538611.42,8668501.93,740.622,636.821,102.55,739.371,103.129,99.573,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,230.0,538606.57,8668503.71,740.101,636.093,102.758,738.851,103.337,99.782,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,235.0,538602.08,8668505.33,740.01,635.793,102.966,738.76,103.546,99.99,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,240.0,538597.18,8668506.77,740.091,635.77,103.071,738.841,103.65,100.094,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,245.0,538592.0,8668508.39,739.909,635.588,103.071,738.658,103.65,100.094,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,250.0,538587.65,8668509.98,739.617,635.295,103.071,738.366,103.65,100.094,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,255.0,538583.28,8668511.46,739.321,634.999,103.071,738.07,103.65,100.094,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,260.0,538577.69,8668513.57,738.966,634.54,103.175,737.715,103.65,100.303,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,265.0,538573.46,8668515.31,738.752,634.326,103.175,737.501,103.65,100.407,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,270.0,538569.13,8668516.92,738.579,634.258,103.071,737.329,103.546,100.303,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,275.0,538564.26,8668519.14,738.419,633.994,103.175,737.169,103.65,100.511,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,280.0,538560.28,8668521.4,738.275,633.641,103.383,737.025,103.859,100.72,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,285.0,538556.6,8668524.87,738.109,633.475,103.383,736.859,103.859,100.824,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,290.0,538555.47,8668530.02,738.009,633.48,103.279,736.759,103.754,100.824,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,295.0,538557.1,8668534.38,738.027,633.288,103.488,736.776,103.963,100.824,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,300.0,538561.28,8668537.47,738.145,633.302,103.592,736.894,104.067,100.72,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,305.0,538566.22,8668538.99,738.32,633.373,103.696,737.069,104.171,100.72,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,310.0,538571.28,8668538.44,738.537,633.486,103.8,737.287,104.275,100.824,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,315.0,538575.48,8668536.76,738.742,633.795,103.696,737.491,104.171,100.72,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,320.0,538579.04,8668535.56,738.921,633.87,103.8,737.67,104.275,100.824,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,325.0,538590.29,8668532.16,739.528,634.477,103.8,738.277,104.275,100.824,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,340.0,538601.53,8668528.76,740.135,635.084,103.8,738.884,104.275,100.824,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,345.0,538604.89,8668529.36,740.285,633.15,105.885,739.035,106.36,102.908,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,350.0,538609.46,8668528.57,740.508,633.477,105.78,739.258,106.256,102.804,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,355.0,538614.79,8668527.1,740.767,633.32,106.197,739.517,106.672,103.221,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,360.0,538619.3,8668525.36,740.993,633.545,106.197,739.742,106.672,103.221,0.267,certain_temperate
dronbreen-20220329-DAT_0235_A1_1,365.0,538623.58,8668523.5,741.153,633.601,106.301,739.903,106.777,103.325,0.267,certain_temperate
