radar_key,distance,easting,northing,elevation,bed_elevation,temperate,temperate_elevation,temperate_lower,temperate_upper,temperate_gpr_uncertainty,bed_type
dronbreen-20220328-DAT_0230_A1_4,0.0,539504.25,8668592.86,751.976,659.431,89.939,749.37,90.221,87.991,0.271,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,15.0,539519.45,8668592.62,750.388,651.486,96.088,747.574,97.204,94.243,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,20.0,539523.61,8668591.43,749.99,651.088,96.088,747.176,97.193,94.253,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,25.0,539529.02,8668589.68,749.489,650.587,96.088,746.675,97.193,94.253,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,30.0,539533.05,8668588.74,749.1,650.198,96.088,746.287,97.216,94.231,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,35.0,539538.53,8668587.54,748.574,649.672,95.984,745.656,97.216,94.23,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,40.0,539543.63,8668587.02,748.134,643.709,101.507,745.216,102.717,99.776,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,45.0,539548.67,8668586.49,747.708,643.283,101.507,744.79,102.717,99.776,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,50.0,539553.72,8668585.94,747.271,642.95,101.403,744.353,102.613,99.672,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,55.0,539558.54,8668585.61,746.823,642.502,101.403,743.905,102.613,99.672,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,60.0,539563.93,8668585.37,746.34,642.123,101.299,743.422,102.509,99.568,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,65.0,539567.82,8668585.29,746.005,641.788,101.299,743.087,102.509,99.568,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,70.0,539573.1,8668585.39,745.566,641.453,101.195,742.648,102.405,99.464,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,75.0,539578.4,8668585.29,745.086,641.077,101.091,742.168,102.323,99.337,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,80.0,539583.5,8668585.2,744.587,640.578,100.986,741.565,102.323,99.337,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,85.0,539588.67,8668585.29,744.056,640.152,100.882,741.034,101.676,98.108,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,90.0,539592.81,8668585.41,743.627,639.723,100.882,740.605,101.676,98.004,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,95.0,539598.3,8668586.13,743.017,639.217,100.778,739.994,101.571,97.9,0.272,certain_temperate
dronbreen-20220328-DAT_0230_A1_4,100.0,539602.92,8668586.82,742.507,638.707,100.778,739.485,101.571,97.9,0.272,certain_temperate
