radar_key,distance,easting,northing,elevation,bed_elevation,temperate,temperate_elevation,temperate_lower,temperate_upper,temperate_gpr_uncertainty,bed_type
dronbreen-20220328-DAT_0228_A1_2,190.0,538441.53,8670261.91,680.985,602.301,0.0,602.301,0.0,0.0,1.596,certain_cold
dronbreen-20220328-DAT_0228_A1_2,195.0,538446.19,8670260.46,680.216,601.949,0.0,601.949,0.0,0.0,1.588,certain_cold
dronbreen-20220328-DAT_0228_A1_2,200.0,538450.58,8670259.1,679.471,601.413,0.0,601.413,0.0,0.0,1.584,certain_cold
dronbreen-20220328-DAT_0228_A1_2,205.0,538455.63,8670257.57,678.616,600.766,0.0,600.766,0.0,0.0,1.579,certain_cold
dronbreen-20220328-DAT_0228_A1_2,210.0,538460.61,8670256.04,677.813,600.276,0.0,600.276,0.0,0.0,1.573,certain_cold
dronbreen-20220328-DAT_0228_A1_2,215.0,538465.54,8670254.5,677.03,599.91,0.0,599.91,0.0,0.0,1.565,certain_cold
dronbreen-20220328-DAT_0228_A1_2,220.0,538470.56,8670252.97,676.219,599.516,0.0,599.516,0.0,0.0,1.557,certain_cold
dronbreen-20220328-DAT_0228_A1_2,225.0,538474.69,8670251.65,675.531,599.036,0.0,599.036,0.0,0.0,1.553,certain_cold
dronbreen-20220328-DAT_0228_A1_2,230.0,538479.25,8670249.93,674.747,598.46,0.0,598.46,0.0,0.0,1.549,certain_cold
dronbreen-20220328-DAT_0228_A1_2,235.0,538484.68,8670248.17,673.774,597.799,0.0,597.799,0.0,0.0,1.54,certain_cold
dronbreen-20220328-DAT_0228_A1_2,240.0,538489.06,8670246.8,672.911,597.145,0.0,597.145,0.0,0.0,1.538,certain_cold
dronbreen-20220328-DAT_0228_A1_2,245.0,538493.53,8670245.44,672.017,596.356,0.0,596.356,0.0,0.0,1.532,certain_cold
dronbreen-20220328-DAT_0228_A1_2,250.0,538498.61,8670244.1,671.067,595.614,0.0,595.614,0.0,0.0,1.526,certain_cold
