radar_key,distance,easting,northing,elevation,bed_elevation,temperate,temperate_elevation,temperate_lower,temperate_upper,temperate_gpr_uncertainty,bed_type
dronbreen-20220329-DAT_0236_A1_2,325.0,541745.81,8672463.42,420.472,293.015,23.032,316.046,27.29,0.0,2.105,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,330.0,541750.78,8672462.64,420.378,294.276,20.01,314.285,24.787,0.0,2.138,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,335.0,541755.86,8672461.87,420.358,295.818,18.03,313.848,21.69,0.0,2.147,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,340.0,541760.39,8672461.27,420.363,297.387,14.903,312.29,18.47,0.0,2.178,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,345.0,541765.18,8672460.63,420.385,298.972,14.174,313.146,20.029,0.0,2.161,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,350.0,541770.39,8672459.72,420.462,300.716,12.089,312.806,26.264,0.0,2.169,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,355.0,541775.49,8672458.95,420.521,302.651,5.628,308.279,29.128,0.0,2.26,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,360.0,541780.22,8672458.16,420.501,304.195,4.586,308.78,31.353,0.0,2.25,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,365.0,541785.2,8672457.29,420.378,305.635,5.836,311.471,37.025,0.0,2.194,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,370.0,541789.55,8672456.51,420.259,307.288,2.918,310.206,40.907,0.0,2.217,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,375.0,541794.53,8672455.63,420.157,308.853,2.71,311.563,41.909,0.0,2.188,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,380.0,541799.84,8672454.68,420.1,310.463,2.293,312.756,42.103,0.0,2.163,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,385.0,541804.95,8672453.8,420.11,312.871,1.355,314.226,39.989,0.0,2.134,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,390.0,541810.04,8672452.95,420.198,314.417,1.251,315.668,38.435,0.0,2.107,uncertain_temperate
dronbreen-20220329-DAT_0236_A1_2,395.0,541814.6,8672451.97,420.348,316.652,0.417,317.068,34.321,0.0,2.083,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,400.0,541819.71,8672451.04,420.516,318.488,0.417,318.905,29.047,0.0,2.05,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,405.0,541823.97,8672450.22,420.672,320.311,0.73,321.04,16.731,0.0,2.01,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,410.0,541829.72,8672449.09,420.908,322.318,0.625,322.944,7.376,0.0,1.977,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,415.0,541834.07,8672448.42,421.111,323.563,0.834,324.397,6.257,0.0,1.952,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,420.0,541839.0,8672447.52,421.4,325.103,0.208,325.312,4.687,0.0,1.94,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,425.0,541844.01,8672446.56,421.767,326.929,0.625,327.555,4.366,0.0,1.903,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,430.0,541848.99,8672445.41,422.177,328.486,0.0,328.486,4.388,0.0,1.893,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,435.0,541854.2,8672444.27,422.631,330.816,0.0,330.816,4.318,0.0,1.86,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,440.0,541858.44,8672443.47,422.988,332.007,0.0,332.007,3.784,0.0,1.841,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,445.0,541863.34,8672442.23,423.356,333.313,0.0,333.313,3.944,0.0,1.822,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,450.0,541868.58,8672440.86,423.721,334.616,0.0,334.616,0.0,0.0,1.8,certain_cold
dronbreen-20220329-DAT_0236_A1_2,455.0,541873.52,8672439.85,424.079,335.703,0.0,335.703,0.0,0.0,1.777,certain_cold
dronbreen-20220329-DAT_0236_A1_2,460.0,541877.82,8672438.96,424.419,336.772,0.0,336.772,0.0,0.0,1.771,certain_cold
dronbreen-20220329-DAT_0236_A1_2,465.0,541883.0,8672437.91,424.875,337.646,0.0,337.646,0.0,0.0,1.761,certain_cold
dronbreen-20220329-DAT_0236_A1_2,470.0,541888.08,8672436.58,425.362,338.757,0.0,338.757,0.0,0.0,1.75,certain_cold
dronbreen-20220329-DAT_0236_A1_2,475.0,541892.3,8672435.72,425.801,339.405,0.0,339.405,0.0,0.0,1.742,certain_cold
dronbreen-20220329-DAT_0236_A1_2,480.0,541897.46,8672434.64,426.352,340.372,0.0,340.372,0.0,0.0,1.74,certain_cold
dronbreen-20220329-DAT_0236_A1_2,485.0,541902.16,8672433.73,426.876,341.105,0.0,341.105,0.0,0.0,1.736,certain_cold
dronbreen-20220329-DAT_0236_A1_2,490.0,541907.38,8672432.25,427.446,341.78,0.0,341.78,0.0,0.0,1.73,certain_cold
dronbreen-20220329-DAT_0236_A1_2,495.0,541912.58,8672430.83,427.994,342.536,0.0,342.536,0.0,0.0,1.728,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,500.0,541917.46,8672429.68,428.546,343.297,0.0,343.297,0.0,0.0,1.726,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,505.0,541921.88,8672428.52,429.119,343.974,0.0,343.974,0.0,0.0,1.719,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,510.0,541926.5,8672427.25,429.756,345.34,0.0,345.34,0.0,0.0,1.705,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,515.0,541931.95,8672425.6,430.501,347.127,0.0,347.127,0.0,0.0,1.686,certain_cold
dronbreen-20220329-DAT_0236_A1_2,520.0,541936.28,8672424.27,431.084,348.336,0.0,348.336,0.0,0.0,1.676,certain_cold
dronbreen-20220329-DAT_0236_A1_2,525.0,541941.14,8672422.74,431.769,349.959,0.0,349.959,0.0,0.0,1.656,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,530.0,541945.95,8672421.08,432.475,351.811,0.0,351.811,0.0,0.0,1.633,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,535.0,541950.46,8672419.5,433.144,353.522,0.0,353.522,0.0,0.0,1.612,uncertain_cold
dronbreen-20220329-DAT_0236_A1_2,540.0,541955.47,8672417.84,433.866,355.391,0.0,355.391,0.0,0.0,1.592,certain_cold
dronbreen-20220329-DAT_0236_A1_2,545.0,541960.44,8672416.23,434.591,357.262,0.0,357.262,0.0,0.0,1.569,certain_cold
dronbreen-20220329-DAT_0236_A1_2,550.0,541964.29,8672414.89,435.177,358.682,0.0,358.682,0.0,0.0,1.555,certain_cold
dronbreen-20220329-DAT_0236_A1_2,555.0,541969.57,8672412.79,436.042,360.798,0.0,360.798,0.0,0.0,1.528,certain_cold
dronbreen-20220329-DAT_0236_A1_2,560.0,541974.04,8672410.79,436.798,362.804,0.0,362.804,0.0,0.0,1.504,certain_cold
dronbreen-20220329-DAT_0236_A1_2,565.0,541978.32,8672408.75,437.486,364.326,0.0,364.326,0.0,0.0,1.487,certain_cold
dronbreen-20220329-DAT_0236_A1_2,570.0,541983.27,8672406.37,438.313,366.508,0.0,366.508,0.0,0.0,1.46,certain_cold
dronbreen-20220329-DAT_0236_A1_2,575.0,541987.11,8672404.5,438.993,368.021,0.0,368.021,0.0,0.0,1.442,certain_cold
dronbreen-20220329-DAT_0236_A1_2,580.0,541991.82,8672402.16,439.848,369.709,0.0,369.709,0.0,0.0,1.428,certain_cold
dronbreen-20220329-DAT_0236_A1_2,585.0,541996.55,8672399.64,440.681,371.585,0.0,371.585,0.0,0.0,1.403,uncertain_cold
