radar_key,distance,easting,northing,elevation,bed_elevation,temperate,temperate_elevation,temperate_lower,temperate_upper,temperate_gpr_uncertainty,bed_type
dronbreen-20220329-DAT_0238_A1_8,0.0,542983.07,8670823.76,689.635,671.501,0.0,671.501,0.0,0.0,0.446,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,5.0,542980.92,8670828.3,689.518,671.28,18.03,689.309,18.238,0.0,0.266,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,10.0,542978.22,8670832.66,689.328,670.569,18.759,689.328,18.759,18.759,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,15.0,542975.39,8670836.87,689.13,670.058,19.072,689.13,19.072,19.072,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,20.0,542972.44,8670840.54,688.926,669.646,19.28,688.926,19.28,19.28,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,25.0,542968.46,8670843.77,688.733,669.14,19.593,688.733,19.593,19.593,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,30.0,542964.65,8670846.48,688.58,668.778,19.801,688.58,19.801,19.801,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,35.0,542960.31,8670849.9,688.399,668.286,20.114,688.399,20.114,20.114,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,40.0,542956.61,8670853.25,688.247,667.925,20.322,688.247,20.322,20.322,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,45.0,542953.03,8670856.3,688.103,667.677,20.427,688.103,20.427,20.427,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,50.0,542949.17,8670859.53,687.954,667.319,20.635,687.954,20.635,20.635,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,55.0,542945.07,8670862.61,687.801,667.062,20.739,687.801,20.739,20.739,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,60.0,542941.11,8670865.75,687.618,666.566,21.052,687.618,21.052,21.052,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,65.0,542937.17,8670869.01,687.405,665.937,21.469,687.405,21.469,21.469,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,70.0,542925.07,8670971.17,675.974,654.401,21.573,675.974,21.573,21.573,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,75.0,542929.45,8670969.82,676.355,617.263,54.401,671.665,54.705,0.53,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,115.0,543008.77,8670981.28,678.94,619.745,54.506,674.25,55.297,0.042,0.282,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,160.0,543014.06,8670981.98,679.162,619.446,48.878,668.324,59.716,32.976,0.343,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,165.0,543019.06,8670982.6,679.38,618.934,55.339,674.273,60.446,37.138,0.285,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,170.0,543023.75,8670983.2,679.595,618.316,56.173,674.489,60.552,45.437,0.285,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,175.0,542857.42,8670959.52,676.503,613.973,61.071,675.044,62.53,53.888,0.267,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,245.0,542843.11,8670982.02,672.67,595.654,75.453,671.107,76.867,72.163,0.267,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,250.0,542846.63,8670985.73,671.934,594.188,76.183,670.371,77.597,72.893,0.267,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,255.0,542850.1,8670988.75,671.425,592.741,77.121,669.861,78.684,70.813,0.267,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,260.0,542853.86,8670992.16,670.912,592.333,73.994,666.327,78.58,67.165,0.281,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,265.0,542857.57,8670995.58,670.428,592.161,73.681,665.843,76.985,69.336,0.281,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,270.0,542861.57,8670999.1,669.96,592.11,73.265,665.375,76.59,69.21,0.281,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,275.0,542865.09,8671002.19,669.551,591.909,73.16,665.07,77.352,68.344,0.28,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,280.0,542868.96,8671005.64,669.084,591.859,71.493,663.352,77.225,39.513,0.289,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,285.0,542872.42,8671008.94,668.642,591.834,68.887,660.721,76.808,16.733,0.309,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,290.0,542875.92,8671012.4,668.181,591.999,53.672,645.67,76.183,0.0,0.523,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,295.0,542879.2,8671015.76,667.75,592.088,39.498,631.586,75.662,0.0,0.771,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,300.0,542883.04,8671019.64,667.261,592.017,25.742,617.758,64.949,3.105,1.025,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,305.0,542886.59,8671023.47,666.786,591.958,22.511,614.469,48.055,9.994,1.08,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,310.0,542889.54,8671026.67,666.41,591.895,18.342,610.237,43.185,5.068,1.154,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,315.0,542893.02,8671030.75,665.934,591.627,13.652,605.28,37.854,0.81,1.242,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,320.0,542896.17,8671034.54,665.522,591.528,8.442,599.97,30.259,0.0,1.338,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,325.0,542899.57,8671038.59,665.101,591.523,3.543,595.067,14.322,0.0,1.426,certain_temperate
dronbreen-20220329-DAT_0238_A1_8,330.0,542902.55,8671041.96,664.766,591.188,6.566,597.754,10.118,0.0,1.366,uncertain_temperate
dronbreen-20220329-DAT_0238_A1_8,335.0,542906.05,8671045.99,664.37,591.21,0.521,591.731,73.16,0.0,1.477,uncertain_cold
dronbreen-20220329-DAT_0238_A1_8,340.0,542909.25,8671049.82,663.977,591.234,0.208,591.442,2.413,0.0,1.475,uncertain_cold
dronbreen-20220329-DAT_0238_A1_8,345.0,542912.38,8671053.34,663.598,591.168,0.313,591.48,69.359,0.0,1.467,uncertain_cold
dronbreen-20220329-DAT_0238_A1_8,350.0,542915.54,8671056.73,663.229,591.007,0.521,591.528,69.31,0.0,1.458,uncertain_cold
dronbreen-20220329-DAT_0238_A1_8,355.0,542919.26,8671060.68,662.783,590.978,0.0,590.978,0.0,0.0,1.448,uncertain_cold
dronbreen-20220329-DAT_0238_A1_8,360.0,542922.8,8671064.19,662.373,590.984,0.0,590.984,0.0,0.0,1.45,uncertain_cold
dronbreen-20220329-DAT_0238_A1_8,365.0,542926.3,8671067.73,661.936,590.756,0.0,590.756,0.0,0.0,1.444,certain_cold
dronbreen-20220329-DAT_0238_A1_8,370.0,542929.96,8671071.88,661.399,590.531,0.0,590.531,0.0,0.0,1.442,certain_cold
dronbreen-20220329-DAT_0238_A1_8,375.0,542933.37,8671075.23,660.991,590.332,0.0,590.332,0.0,0.0,1.438,certain_cold
dronbreen-20220329-DAT_0238_A1_8,380.0,542936.49,8671078.6,660.582,590.132,0.0,590.132,0.0,0.0,1.434,certain_cold
dronbreen-20220329-DAT_0238_A1_8,385.0,542939.75,8671082.44,660.106,589.863,0.0,589.863,0.0,0.0,1.43,certain_cold
dronbreen-20220329-DAT_0238_A1_8,390.0,542943.11,8671086.32,659.628,589.594,0.0,589.594,0.0,0.0,1.426,certain_cold
dronbreen-20220329-DAT_0238_A1_8,395.0,542946.87,8671090.47,659.107,589.386,0.0,589.386,0.0,0.0,1.419,certain_cold
dronbreen-20220329-DAT_0238_A1_8,400.0,542949.81,8671093.79,658.677,589.164,0.0,589.164,0.0,0.0,1.415,certain_cold
dronbreen-20220329-DAT_0238_A1_8,405.0,542953.15,8671097.47,658.182,588.878,0.0,588.878,0.0,0.0,1.411,certain_cold
dronbreen-20220329-DAT_0238_A1_8,410.0,542956.31,8671100.85,657.72,588.624,0.0,588.624,0.0,0.0,1.407,certain_cold
dronbreen-20220329-DAT_0238_A1_8,415.0,542959.68,8671104.59,657.191,588.304,0.0,588.304,0.0,0.0,1.403,certain_cold
dronbreen-20220329-DAT_0238_A1_8,420.0,542963.12,8671108.79,656.591,587.912,0.0,587.912,0.0,0.0,1.399,certain_cold
