radar_key,distance,easting,northing,elevation,bed_elevation,temperate,temperate_elevation,temperate_lower,temperate_upper,temperate_gpr_uncertainty,bed_type
dronbreen-20220329-DAT_0247_A1_2,5.0,541453.14,8672696.43,417.307,280.992,0.0,280.992,0.0,0.0,2.739,certain_cold
dronbreen-20220329-DAT_0247_A1_2,10.0,541451.29,8672700.89,417.01,280.902,0.0,280.902,0.0,0.0,2.737,certain_cold
dronbreen-20220329-DAT_0247_A1_2,15.0,541452.28,8672705.76,416.797,280.898,0.0,280.898,0.0,0.0,2.731,certain_cold
dronbreen-20220329-DAT_0247_A1_2,20.0,541455.31,8672710.39,416.672,281.086,0.0,281.086,0.0,0.0,2.729,certain_cold
dronbreen-20220329-DAT_0247_A1_2,25.0,541458.57,8672714.32,416.566,280.98,0.0,280.98,0.0,0.0,2.727,certain_cold
dronbreen-20220329-DAT_0247_A1_2,30.0,541461.54,8672718.26,416.458,280.559,0.0,280.559,0.0,0.0,2.731,certain_cold
dronbreen-20220329-DAT_0247_A1_2,35.0,541464.38,8672722.81,416.363,280.256,0.0,280.256,0.0,0.0,2.735,certain_cold
dronbreen-20220329-DAT_0247_A1_2,40.0,541466.57,8672726.43,416.304,280.093,0.0,280.093,0.0,0.0,2.737,certain_cold
dronbreen-20220329-DAT_0247_A1_2,45.0,541469.36,8672730.85,416.248,279.724,0.0,279.724,0.0,0.0,2.743,certain_cold
dronbreen-20220329-DAT_0247_A1_2,50.0,541471.67,8672734.76,416.208,279.579,0.0,279.579,0.0,0.0,2.745,certain_cold
dronbreen-20220329-DAT_0247_A1_2,55.0,541474.37,8672739.93,416.087,279.146,0.0,279.146,0.0,0.0,2.752,certain_cold
dronbreen-20220329-DAT_0247_A1_2,60.0,541476.74,8672743.67,416.016,278.867,0.0,278.867,0.0,0.0,2.756,certain_cold
dronbreen-20220329-DAT_0247_A1_2,65.0,541479.64,8672748.1,415.909,278.447,0.0,278.447,0.0,0.0,2.762,certain_cold
dronbreen-20220329-DAT_0247_A1_2,70.0,541482.08,8672752.08,415.799,278.129,0.0,278.129,0.0,0.0,2.766,certain_cold
dronbreen-20220329-DAT_0247_A1_2,75.0,541484.56,8672756.07,415.653,277.774,0.0,277.774,0.0,0.0,2.77,certain_cold
dronbreen-20220329-DAT_0247_A1_2,80.0,541487.45,8672760.58,415.515,277.428,0.0,277.428,0.0,0.0,2.774,certain_cold
dronbreen-20220329-DAT_0247_A1_2,85.0,541489.97,8672764.55,415.418,277.122,0.0,277.122,0.0,0.0,2.779,certain_cold
dronbreen-20220329-DAT_0247_A1_2,90.0,541492.71,8672768.97,415.345,276.84,0.0,276.84,0.0,0.0,2.783,certain_cold
dronbreen-20220329-DAT_0247_A1_2,95.0,541495.5,8672773.59,415.347,276.53,0.0,276.53,0.0,0.0,2.789,certain_cold
dronbreen-20220329-DAT_0247_A1_2,100.0,541498.44,8672777.95,415.352,276.326,0.0,276.326,0.0,0.0,2.793,certain_cold
dronbreen-20220329-DAT_0247_A1_2,105.0,541501.19,8672782.02,415.302,276.068,0.0,276.068,0.0,0.0,2.797,certain_cold
dronbreen-20220329-DAT_0247_A1_2,110.0,541503.49,8672785.68,415.225,275.782,0.0,275.782,0.0,0.0,2.801,certain_cold
dronbreen-20220329-DAT_0247_A1_2,115.0,541506.17,8672790.29,415.1,275.449,0.0,275.449,0.0,0.0,2.806,certain_cold
dronbreen-20220329-DAT_0247_A1_2,120.0,541508.92,8672794.62,414.97,275.006,0.0,275.006,0.0,0.0,2.81,certain_cold
dronbreen-20220329-DAT_0247_A1_2,125.0,541511.45,8672798.55,414.845,274.673,0.0,274.673,0.0,0.0,2.816,certain_cold
dronbreen-20220329-DAT_0247_A1_2,130.0,541514.41,8672803.14,414.727,274.346,0.0,274.346,0.0,0.0,2.82,certain_cold
dronbreen-20220329-DAT_0247_A1_2,135.0,541516.81,8672806.89,414.619,273.926,0.0,273.926,0.0,0.0,2.826,certain_cold
dronbreen-20220329-DAT_0247_A1_2,140.0,541519.36,8672811.05,414.521,273.62,0.0,273.62,0.0,0.0,2.831,certain_cold
