radar_key,distance,easting,northing,elevation,bed_elevation,temperate,temperate_elevation,temperate_lower,temperate_upper,temperate_gpr_uncertainty,bed_type
dronbreen-20220328-DAT_0226_A1_1,0.0,540086.08,8670678.58,563.781,404.642,0.0,404.642,0.0,0.0,3.194,certain_cold
dronbreen-20220328-DAT_0226_A1_1,5.0,540089.86,8670682.17,563.397,403.424,0.0,403.424,0.0,0.0,3.208,certain_cold
dronbreen-20220328-DAT_0226_A1_1,10.0,540093.17,8670685.3,563.091,402.492,0.0,402.492,0.0,0.0,3.219,certain_cold
dronbreen-20220328-DAT_0226_A1_1,15.0,540096.73,8670688.92,562.755,401.74,0.0,401.74,0.0,0.0,3.229,certain_cold
dronbreen-20220328-DAT_0226_A1_1,20.0,540100.27,8670692.21,562.417,401.089,0.0,401.089,0.0,0.0,3.235,certain_cold
dronbreen-20220328-DAT_0226_A1_1,25.0,540104.44,8670696.06,561.971,400.226,0.0,400.226,0.0,0.0,3.244,certain_cold
dronbreen-20220328-DAT_0226_A1_1,30.0,540108.05,8670699.49,561.547,399.072,0.0,399.072,0.0,0.0,3.252,certain_cold
dronbreen-20220328-DAT_0226_A1_1,35.0,540111.57,8670702.79,561.127,397.923,0.0,397.923,0.0,0.0,3.267,certain_cold
dronbreen-20220328-DAT_0226_A1_1,40.0,540114.91,8670705.96,560.736,397.115,0.0,397.115,0.0,0.0,3.281,certain_cold
dronbreen-20220328-DAT_0226_A1_1,45.0,540118.4,8670709.13,560.354,396.108,0.0,396.108,0.0,0.0,3.296,certain_cold
dronbreen-20220328-DAT_0226_A1_1,50.0,540122.21,8670712.84,559.943,394.967,0.0,394.967,0.0,0.0,3.31,certain_cold
dronbreen-20220328-DAT_0226_A1_1,55.0,540126.1,8670716.71,559.531,393.825,0.0,393.825,0.0,0.0,3.325,certain_cold
dronbreen-20220328-DAT_0226_A1_1,60.0,540129.46,8670720.25,559.149,393.027,0.0,393.027,0.0,0.0,3.333,certain_cold
dronbreen-20220328-DAT_0226_A1_1,65.0,540132.54,8670723.6,558.795,392.36,0.0,392.36,0.0,0.0,3.339,certain_cold
dronbreen-20220328-DAT_0226_A1_1,70.0,540136.19,8670727.62,558.401,391.445,0.0,391.445,0.0,0.0,3.35,certain_cold
